profile,seed,request_period_ns,reservation_ns,commit_ns,issue_ns,writes,issued_writes,completion_fraction_pct,completed_writes_per_us,avg_write_latency_ns,write_control_queue_ns_per_write,reservation_ns_per_write,commit_ns_per_write,write_overhead_vs_insecure_pct,control_increment_vs_anchor_pct
ebfi_slow200_pipe,3,100.0,200.0,200.0,2.0,1006,1006,100.0,2.012,630.3518886679921,0.0,200.0,200.0,205.9960624601903,172.87960548397922
ebfi_slow200_pipe,4,20.0,200.0,200.0,2.0,5221,5221,100.0,10.442,630.512353955181,0.0,200.0,200.0,206.07395823067037,116.58352654474828
ebfi_slow200_pipe,4,100.0,200.0,200.0,2.0,1075,1075,100.0,2.15,630.3404651162791,0.0,200.0,200.0,205.9905170467374,172.87466022349744
ebfi_slow200_pipe,5,20.0,200.0,200.0,2.0,5136,5136,100.0,10.272,630.5484813084112,0.0,200.0,200.0,206.0914957807821,116.23323164319382
ebfi_slow200_pipe,5,100.0,200.0,200.0,2.0,980,980,100.0,1.96,630.3183673469388,0.0,200.0,200.0,205.97978997424212,172.8650940895839
ebfi_slow1000_pipe,1,20.0,1000.0,1000.0,2.0,4612,4612,100.0,9.224,2232.6899392888117,0.11188204683434519,1000.1053772766696,1000.0065047701648,983.8300676159281,666.908380062596
ebfi_slow1000_pipe,1,100.0,1000.0,1000.0,2.0,1049,1049,100.0,2.098,2230.318398474738,0.0,1000.0,1000.0,982.6788342110378,865.5058002055143
ebfi_slow1000_pipe,2,20.0,1000.0,1000.0,2.0,4565,4565,100.0,9.13,2232.6411829134718,0.11281489594742607,1000.1047097480832,1000.0081051478642,983.8063994725591,665.1459415817735
ebfi_slow1000_pipe,2,100.0,1000.0,1000.0,2.0,1012,1012,100.0,2.024,2230.335968379447,0.0,1000.0,1000.0,982.6873632909937,865.5134062248688
ebfi_slow1000_pipe,3,20.0,1000.0,1000.0,2.0,4566,4566,100.0,9.132,2232.416776171704,0.11191414805081033,1000.1024967148489,1000.0094174332019,983.6974641610215,664.8730428550596
ebfi_slow1000_pipe,3,100.0,1000.0,1000.0,2.0,1006,1006,100.0,2.012,2230.324055666004,0.0,1000.0,1000.0,982.6815804203902,865.5082492060623
ebfi_slow1000_pipe,4,20.0,1000.0,1000.0,2.0,4620,4620,100.0,9.24,2232.799567099567,0.11125541125541126,1000.1041125541126,1000.0071428571429,983.8832849997898,666.9756211380858
ebfi_slow1000_pipe,4,100.0,1000.0,1000.0,2.0,1075,1075,100.0,2.15,2230.357209302326,0.0,1000.0,1000.0,982.6976744186047,865.5226014295782
ebfi_slow1000_pipe,5,20.0,1000.0,1000.0,2.0,4552,4552,100.0,9.104,2232.5019771529,0.10347100175746923,1000.097539543058,1000.0059314586995,983.7388238606311,665.5892155475273
ebfi_slow1000_pipe,5,100.0,1000.0,1000.0,2.0,980,980,100.0,1.96,2230.344897959184,0.0,1000.0,1000.0,982.6916980384389,865.5172718438026
ebfi_slow200_serial,1,20.0,200.0,200.0,200.0,1261,1265,99.68379446640316,2.522,8883.50198255353,8195.029249011857,4306.558893280633,4302.073750991276,4212.3796031813245,2951.4009109984645
ebfi_slow200_serial,1,100.0,200.0,200.0,200.0,1049,1049,100.0,2.098,1464.3889418493802,834.3889418493803,589.093422306959,645.2955195424213,610.8684183734855,533.9346068612035
ebfi_slow200_serial,2,20.0,200.0,200.0,200.0,1260,1268,99.36908517350157,2.52,8645.752380952381,7968.139589905362,4203.764195583596,4190.815873015873,4096.967175219603,2862.9760468603936
ebfi_slow200_serial,2,100.0,200.0,200.0,200.0,1012,1012,100.0,2.024,1257.2430830039527,627.2430830039525,493.8152173913043,533.4278656126482,510.31217621551104,444.26107489348607
ebfi_slow200_serial,3,20.0,200.0,200.0,200.0,1263,1259,100.31771247021446,2.526,8617.266033254156,7938.7251787132645,4176.1445591739475,4149.39746634996,4083.1388510942506,2852.4569794935574
ebfi_slow200_serial,3,100.0,200.0,200.0,200.0,1006,1006,100.0,2.012,1432.0526838966202,802.0526838966202,578.1391650099404,623.9135188866799,595.1712057750584,519.9362267950737
ebfi_slow200_serial,4,20.0,200.0,200.0,200.0,1264,1264,100.0,2.528,9163.46993670886,8473.193037974683,4407.572784810127,4465.620253164557,4348.286377043136,3047.6887357234277
ebfi_slow200_serial,4,100.0,200.0,200.0,200.0,1075,1075,100.0,2.15,1882.8855813953487,1252.8855813953487,805.7451162790697,847.1404651162791,814.022126890946,715.1019832880297
ebfi_slow200_serial,5,20.0,200.0,200.0,200.0,1262,1264,99.84177215189874,2.524,8651.320126782884,7958.646360759494,4175.304588607595,4189.97147385103,4099.66996445771,2866.786796650896
ebfi_slow200_serial,5,100.0,200.0,200.0,200.0,980,980,100.0,1.96,1364.4214285714286,734.4214285714286,543.080612244898,591.3408163265307,562.3404993065187,490.6586270871985
ebfi_slow1000_serial,1,20.0,1000.0,1000.0,1000.0,250,257,97.27626459143968,0.5,46570.472,44571.87159533074,23246.560311284047,23970.42,22507.025242718446,15896.527153988533
ebfi_slow1000_serial,1,100.0,1000.0,1000.0,1000.0,249,257,96.88715953307393,0.498,46968.156626506025,45286.3813229572,23674.91439688716,24370.06827309237,22700.07603228448,20232.535336149795
ebfi_slow1000_serial,2,20.0,1000.0,1000.0,1000.0,251,258,97.28682170542636,0.502,42830.705179282864,39903.06976744186,20927.85658914729,21548.227091633464,20691.604455962555,14578.462662884524
ebfi_slow1000_serial,2,100.0,1000.0,1000.0,1000.0,250,258,96.89922480620154,0.5,43002.144,40243.13178294574,21298.038759689924,21599.336,20774.827184466023,18515.646753246754
ebfi_slow1000_serial,3,20.0,1000.0,1000.0,1000.0,256,250,102.4,0.512,44201.84375,41732.688,21475.52,21743.328125,21357.205703883494,15044.483364277505
ebfi_slow1000_serial,3,100.0,1000.0,1000.0,1000.0,254,250,101.6,0.508,44522.035433070865,42073.756,21907.672,21820.94881889764,21512.63855974314,19173.60841258479
ebfi_slow1000_serial,4,20.0,1000.0,1000.0,1000.0,249,256,97.265625,0.498,48441.9437751004,46752.54296875,24044.04296875,25403.116465863455,23415.506686941942,16540.00229286459
ebfi_slow1000_serial,4,100.0,1000.0,1000.0,1000.0,251,255,98.43137254901961,0.502,48535.57370517928,46898.109803921565,24286.99607843137,24999.338645418327,23460.95810931033,20911.070868042978
ebfi_slow1000_serial,5,20.0,1000.0,1000.0,1000.0,251,257,97.66536964980544,0.502,41366.24302788845,38744.7626459144,20318.284046692606,20906.79282868526,19980.700498974973,14085.675925025396
ebfi_slow1000_serial,5,100.0,1000.0,1000.0,1000.0,250,258,96.89922480620154,0.5,41523.82,38997.29457364341,20615.104651162794,21022.42,20057.194174757282,17875.679653679654
