mode,seed,working_set_kib,request_period_ns,reads,writes,avg_read_latency_ns,avg_write_latency_ns,metadata_hit_rate_pct,aead_queue_ns_per_op,metadata_queue_ns_per_read,late_check_rate_pct,late_check_window_ns,ratchets,read_overhead_pct
verified,2,4096,20.0,19877,5122,305.90597172611564,290.4006247559547,11.96357599235297,16.92535701428057,0.0,0.0,0.0,1,49.22242523225153
verified,2,4096,100.0,3987,1012,291.8823676950088,231.0,22.523200401304237,0.0,0.0,0.0,0.0,0,42.38164277805306
verified,2,65536,20.0,19877,5122,307.4076067817075,291.79285435376806,6.00694269759018,14.810712428497139,0.0,0.0,0.0,1,49.954930137418295
verified,2,65536,100.0,3987,1012,293.86481063456233,231.0,19.914722849260095,0.0,0.0,0.0,0.0,0,43.348688114420646
verified,3,256,20.0,19915,5084,241.11388400702987,237.16738788355624,95.15440622646247,4.773630945237809,0.0,0.0,0.0,1,17.61652878391701
verified,3,256,100.0,3993,1006,263.22489356373654,231.0,60.23040320560982,0.0,0.0,0.0,0.0,0,28.402387104261727
verified,3,4096,20.0,19915,5084,305.9785588752197,290.5727773406766,11.584232990208386,16.70778831153246,0.0,0.0,0.0,1,49.25783359766814
verified,3,4096,100.0,3993,1006,291.20385674931134,231.0,23.415977961432507,0.0,0.0,0.0,0.0,0,42.05066182893236
verified,3,65536,20.0,19915,5084,307.370273663068,291.8676239181747,6.020587496861662,14.716308652346093,0.0,0.0,0.0,1,49.93671886003318
verified,3,65536,100.0,3993,1006,293.52592036063106,231.0,20.36063110443276,0.0,0.0,0.0,0.0,0,43.18337578567369
verified,4,256,20.0,19778,5221,241.13307715643646,236.7895039264509,95.12084133886137,4.699627985119405,0.0,0.0,0.0,1,17.62589129582266
verified,4,256,100.0,3924,1075,263.2334352701325,231.0,60.21916411824669,0.0,0.0,0.0,0.0,0,28.406553790308525
verified,4,4096,20.0,19778,5221,305.7038123167155,289.6630913618081,12.154919607644858,16.93763750550022,0.0,0.0,0.0,1,49.12381088620269
verified,4,4096,100.0,3924,1075,291.82059123343527,231.0,22.60448521916412,0.0,0.0,0.0,0.0,0,42.35150791874891
verified,4,65536,20.0,19778,5221,307.2758620689655,291.1174104577667,6.1836383860855495,14.900276011040441,0.0,0.0,0.0,1,49.890664423885625
verified,4,65536,100.0,3924,1075,294.16411824668705,231.0,19.520897043832825,0.0,0.0,0.0,0.0,0,43.49469182765222
verified,5,256,20.0,19863,5136,241.02033932437195,237.12772585669782,95.18703116346977,4.7149885995439815,0.0,0.0,0.0,1,17.57089723140095
verified,5,256,100.0,4019,980,263.31301318736,231.0,60.114456332421,0.0,0.0,0.0,0.0,0,28.445372286517077
verified,5,4096,20.0,19863,5136,305.92856064038665,290.1442757009346,12.062629008709662,16.980759230369216,0.0,0.0,0.0,1,49.233444214822754
verified,5,4096,100.0,4019,980,291.5648171186862,231.0,22.94103010699179,0.0,0.0,0.0,0.0,0,42.22674005789572
verified,5,65536,20.0,19863,5136,307.42702512208626,291.6057242990654,5.9054523485878265,14.758510340413617,0.0,0.0,0.0,1,49.96440249857867
verified,5,65536,100.0,4019,980,293.5882060213984,231.0,20.27867628763374,0.0,0.0,0.0,0.0,0,43.21375903482848
